Country,Year,Average Temperature (°C),Rainfall (mm),Extreme Weather Events,Droughts,Floods
Brazil,2013,34.1,878.0,8,0,2
China,2012,7.5,1302.9,3,4,1
India,2013,22.0,692.4,0,0,3
China,2022,4.1,1608.3,9,1,1
India,2017,3.9,1719.3,5,4,3
South Africa,2022,22.0,791.9,6,0,1
USA,2014,31.4,1156.8,7,2,2
USA,2023,5.3,1769.0,7,0,0
China,2017,-3.7,1616.6,9,3,0
South Africa,2015,7.4,1900.7,0,2,0
Australia,2023,3.6,163.8,5,3,3
South Africa,2021,27.9,548.7,5,4,4
Germany,2019,23.3,382.9,8,2,4
USA,2016,11.1,389.2,2,0,2
Australia,2022,7.1,1983.1,8,0,4
India,2014,16.0,301.4,7,2,3
Brazil,2023,25.8,1413.1,0,3,0
USA,2014,-0.7,305.2,8,0,0
Australia,2016,11.1,172.7,0,2,4
South Africa,2016,-3.2,1013.4,7,3,1
Australia,2010,19.4,1598.1,5,0,4
India,2018,-8.7,686.9,4,0,0
Brazil,2019,25.8,1366.0,8,4,4
Australia,2014,-9.8,1950.7,5,4,1
Australia,2019,6.7,753.0,9,1,3
USA,2020,13.7,1505.8,8,2,4
China,2015,10.0,424.2,8,0,3
Germany,2014,29.1,1101.1,8,4,3
China,2019,31.6,911.5,0,2,3
USA,2018,28.4,1176.7,6,2,1
China,2016,32.1,1300.8,2,1,4
China,2010,9.8,391.5,5,3,0
Brazil,2019,5.7,898.8,9,1,2
South Africa,2010,-7.6,1101.5,1,1,2
South Africa,2012,22.2,526.3,6,4,4
South Africa,2020,-6.6,1065.9,4,4,1
USA,2016,19.5,1478.7,1,3,2
Brazil,2014,-6.5,1508.9,3,1,0
Brazil,2011,-4.7,402.0,8,0,1
USA,2023,-5.8,1877.3,3,2,4
USA,2011,12.7,621.9,1,0,2
Australia,2022,-9.0,172.2,5,2,3
Australia,2010,29.0,211.6,4,4,1
Germany,2015,3.0,1756.6,3,3,0
Brazil,2019,25.0,1791.2,1,4,1
Brazil,2017,34.6,1845.4,9,1,3
Brazil,2020,28.1,184.4,0,2,2
China,2013,-8.8,1290.7,7,4,2
Brazil,2021,13.6,664.7,8,3,4
Germany,2012,12.3,310.5,0,3,3
Australia,2012,-4.9,220.8,3,2,1
Brazil,2011,4.8,1581.1,4,1,1
South Africa,2010,15.6,88.8,0,2,4
USA,2013,14.5,1552.4,9,0,1
India,2012,-2.0,1866.2,1,4,2
Brazil,2018,30.0,1354.8,6,3,2
China,2016,21.3,1779.5,0,4,3
India,2010,14.6,316.4,2,2,3
Germany,2017,-4.3,733.5,8,3,2
Australia,2012,6.3,978.8,0,1,3
China,2022,39.7,1101.2,8,4,3
China,2021,36.8,922.0,4,0,1
USA,2013,27.5,983.0,4,0,3
USA,2022,-9.2,245.2,4,1,1
Germany,2013,3.2,1559.1,3,0,3
Germany,2011,13.2,658.9,1,3,4
USA,2014,19.5,1121.6,6,2,0
Australia,2021,30.6,76.7,7,1,3
Australia,2011,4.2,1310.6,6,0,2
Germany,2021,2.4,289.9,9,0,3
South Africa,2020,1.7,100.3,3,4,1
South Africa,2011,14.8,1259.6,5,3,0
Australia,2018,28.2,554.0,9,0,2
Germany,2011,-0.6,1006.2,4,1,4
USA,2012,39.4,1708.3,5,1,4
Australia,2010,2.2,386.9,2,1,1
India,2014,20.6,1181.1,7,4,3
China,2012,32.3,70.1,6,2,1
Brazil,2019,34.9,1880.3,7,1,3
China,2020,4.7,1511.4,3,0,4
Brazil,2012,23.5,1372.6,4,1,3
Australia,2011,21.2,859.2,7,3,2
India,2015,23.5,819.4,7,3,1
USA,2010,-9.5,1097.8,0,2,2
India,2021,6.0,1341.5,9,2,1
Australia,2012,4.5,829.7,3,3,4
Germany,2022,8.1,1209.2,0,1,3
China,2015,30.8,1516.6,4,1,2
Brazil,2015,7.6,921.1,9,3,0
Brazil,2016,-0.4,731.4,1,1,3
India,2022,31.5,144.9,0,1,0
South Africa,2014,14.8,1611.1,6,1,2
India,2023,14.7,1818.5,0,3,4
China,2016,15.9,1012.2,6,0,0
Australia,2012,6.4,1210.7,9,1,4
USA,2012,15.1,742.9,3,3,4
India,2016,17.7,1009.0,6,2,4
South Africa,2016,38.2,1624.2,5,1,4
Brazil,2020,34.3,1901.2,2,0,3
Brazil,2019,-1.8,599.2,0,3,4
South Africa,2017,-8.5,1993.6,6,4,3
China,2019,19.1,1007.8,6,0,1
India,2013,-1.5,418.1,6,4,0
India,2011,15.0,8.6,1,1,3
China,2018,0.1,303.6,8,0,4
Germany,2021,36.4,1568.8,8,2,4
USA,2010,11.3,525.3,0,0,0
India,2022,22.3,715.0,3,3,0
Germany,2021,39.9,21.1,2,1,2
Brazil,2021,24.4,675.5,5,1,3
India,2011,-5.6,146.3,2,4,3
USA,2019,16.9,808.0,4,1,4
Brazil,2012,9.7,1261.9,6,3,0
China,2018,-2.9,1218.0,0,4,0
China,2022,3.1,1138.2,1,0,3
China,2013,-0.9,1987.1,1,4,3
Brazil,2017,36.5,273.0,6,2,1
Brazil,2012,36.5,1299.6,6,1,1
South Africa,2014,36.7,1438.0,1,2,1
India,2016,23.6,786.1,4,1,0
Germany,2015,38.5,661.3,0,3,3
Australia,2015,21.9,71.3,0,4,3
India,2016,-6.9,1431.2,3,2,0
Brazil,2015,-5.7,942.3,8,2,2
USA,2023,6.3,526.1,9,1,2
Germany,2013,10.9,1231.0,6,3,4
Germany,2017,9.8,956.8,2,1,3
Brazil,2013,-3.8,611.4,2,1,2
Brazil,2017,5.0,339.8,3,3,2
Australia,2014,35.9,876.7,7,3,1
India,2010,12.0,862.8,6,0,1
Germany,2018,-7.7,1663.5,3,4,0
India,2018,7.7,197.1,2,4,1
South Africa,2014,37.6,1101.8,8,4,4
China,2018,14.4,1876.2,5,0,2
USA,2017,9.7,191.1,3,1,1
China,2013,3.6,1851.4,7,2,0
Brazil,2021,27.5,542.2,9,4,4
South Africa,2011,31.6,1561.8,5,1,0
Brazil,2011,7.0,1073.8,3,2,0
Germany,2010,26.2,1735.4,0,3,0
China,2018,27.3,1835.3,6,0,2
India,2015,-3.7,1233.9,3,4,4
Brazil,2010,11.0,845.9,5,1,1
China,2011,23.0,553.7,9,2,1
South Africa,2013,26.0,211.1,5,3,2
Brazil,2012,1.6,1541.0,8,1,4
Brazil,2023,-2.0,1719.5,2,1,3
China,2019,20.0,379.7,0,4,1
Australia,2014,7.4,1902.0,4,3,1
Australia,2022,21.9,4.5,6,1,4
Brazil,2014,5.3,1066.4,6,1,4
Brazil,2012,36.5,861.0,9,2,2
