ID,Title,Year,Authors,Region,Participants_Female,Participants_Male,Funding_Source,Research_Area,Trial_Outcome,Gender_Imbalance_Score
37,Study on Oncology (2007),2006,Author4; Author68,Europe,332,203,NGO,Neurology,Neutral,129
38,Study on Oncology (2012),2019,Author25; Author94,Asia,272,193,NGO,Public Health,Neutral,79
39,Study on Neurology (2014),2004,Author39; Author89,South America,30,380,NGO,Cardiology,Success,350
40,Study on Genetics (2011),2008,Author3; Author55,Africa,466,78,Government,Genetics,Neutral,388
41,Study on Cardiology (2011),2001,Author13; Author99,South America,303,138,Government,Genetics,Success,165
42,Study on Neurology (2006),2020,Author38; Author97,Europe,85,470,Private,Neurology,Failure,385
43,Study on Genetics (2008),2015,Author43; Author86,Asia,38,30,NGO,Cardiology,Failure,8
44,Study on Genetics (2021),2011,Author14; Author81,Oceania,95,258,Private,Oncology,Success,163
45,Study on Genetics (2002),2017,Author14; Author72,Europe,142,371,NGO,Neurology,Success,229
46,Study on Pharmacology (2020),2003,Author20; Author51,North America,482,234,Government,Cardiology,Success,248
47,Study on Cardiology (2017),2022,Author14; Author63,South America,102,296,Private,Oncology,Neutral,194
48,Study on Genetics (2007),2016,Author48; Author58,Asia,274,160,Private,Cardiology,Neutral,114
49,Study on Cardiology (2014),2003,Author48; Author99,Oceania,500,287,Private,Genetics,Failure,213
50,Study on Public Health (2008),2009,Author31; Author66,Europe,217,366,Private,Public Health,Failure,149
51,Study on Genetics (2022),2002,Author45; Author89,Asia,316,260,Government,Cardiology,Failure,56
52,Study on Pharmacology (2007),2005,Author46; Author64,Oceania,298,107,NGO,Public Health,Failure,191
53,Study on Genetics (2010),2008,Author26; Author66,North America,336,300,Private,Cardiology,Success,36
54,Study on Oncology (2007),2014,Author36; Author71,North America,19,105,NGO,Oncology,Neutral,86
55,Study on Oncology (2010),2016,Author50; Author69,South America,459,288,Private,Public Health,Success,171
56,Study on Public Health (2008),2004,Author25; Author80,Asia,378,188,NGO,Pharmacology,Failure,190
57,Study on Oncology (2006),2013,Author35; Author92,Europe,382,175,Government,Public Health,Failure,207
58,Study on Pharmacology (2022),2002,Author23; Author70,Europe,348,384,Government,Oncology,Failure,36
59,Study on Neurology (2006),2007,Author17; Author74,Africa,430,249,Private,Public Health,Neutral,181
60,Study on Genetics (2015),2014,Author33; Author82,Europe,155,150,Government,Cardiology,Success,5
61,Study on Public Health (2020),2011,Author30; Author57,South America,494,454,Government,Cardiology,Failure,40
62,Study on Public Health (2004),2000,Author47; Author81,North America,53,435,NGO,Pharmacology,Neutral,382
63,Study on Neurology (2004),2013,Author49; Author71,Europe,120,316,NGO,Public Health,Neutral,196
64,Study on Cardiology (2023),2001,Author14; Author74,Africa,239,478,Private,Cardiology,Success,239
65,Study on Pharmacology (2017),2012,Author21; Author77,South America,320,450,Private,Public Health,Failure,130
66,Study on Neurology (2023),2016,Author3; Author87,Oceania,251,293,NGO,Neurology,Success,42
67,Study on Pharmacology (2013),2011,Author15; Author98,South America,454,92,Private,Cardiology,Success,362
68,Study on Pharmacology (2012),2007,Author10; Author52,South America,256,45,NGO,Public Health,Success,211
69,Study on Neurology (2007),2012,Author17; Author86,South America,97,281,Government,Genetics,Success,184
70,Study on Cardiology (2016),2002,Author38; Author88,South America,122,89,Government,Cardiology,Success,33
71,Study on Public Health (2002),2011,Author47; Author77,South America,435,240,Private,Genetics,Success,195
72,Study on Oncology (2003),2007,Author19; Author60,North America,220,161,Government,Neurology,Failure,59
73,Study on Cardiology (2020),2000,Author13; Author72,North America,317,429,Government,Neurology,Failure,112
74,Study on Cardiology (2021),2010,Author15; Author75,Africa,83,144,NGO,Cardiology,Failure,61
75,Study on Public Health (2019),2003,Author37; Author66,Europe,416,287,NGO,Neurology,Neutral,129
76,Study on Oncology (2012),2022,Author32; Author86,Oceania,308,197,Government,Cardiology,Failure,111
77,Study on Public Health (2019),2020,Author42; Author94,Asia,430,242,Private,Oncology,Failure,188
78,Study on Public Health (2016),2010,Author22; Author67,North America,402,10,Private,Genetics,Neutral,392
79,Study on Neurology (2017),2004,Author49; Author82,Asia,103,407,NGO,Pharmacology,Success,304
80,Study on Oncology (2021),2004,Author47; Author92,Africa,329,336,Government,Oncology,Success,7
81,Study on Genetics (2003),2001,Author48; Author82,Europe,347,269,Government,Neurology,Success,78
82,Study on Genetics (2017),2009,Author30; Author61,North America,271,204,Government,Cardiology,Failure,67
83,Study on Neurology (2020),2015,Author47; Author73,Oceania,145,385,NGO,Oncology,Success,240
84,Study on Neurology (2003),2022,Author11; Author59,North America,95,104,NGO,Public Health,Success,9
85,Study on Neurology (2013),2004,Author47; Author85,Oceania,380,462,NGO,Public Health,Failure,82
86,Study on Cardiology (2014),2022,Author32; Author62,Oceania,361,19,Private,Public Health,Failure,342
87,Study on Oncology (2023),2015,Author35; Author92,Europe,185,327,Private,Cardiology,Neutral,142
88,Study on Genetics (2008),2014,Author4; Author84,Europe,482,448,Private,Neurology,Neutral,34
89,Study on Pharmacology (2005),2019,Author3; Author55,Oceania,242,196,Government,Cardiology,Success,46
90,Study on Pharmacology (2003),2000,Author43; Author54,Asia,315,407,Government,Neurology,Neutral,92
91,Study on Genetics (2009),2002,Author49; Author51,Asia,312,327,NGO,Pharmacology,Success,15
92,Study on Genetics (2016),2000,Author27; Author59,Europe,45,132,Government,Cardiology,Neutral,87
93,Study on Pharmacology (2006),2008,Author41; Author65,North America,127,174,Government,Genetics,Failure,47
94,Study on Cardiology (2011),2006,Author5; Author96,South America,203,379,Private,Pharmacology,Success,176
95,Study on Cardiology (2017),2004,Author10; Author51,Africa,207,42,NGO,Cardiology,Success,165
96,Study on Pharmacology (2000),2017,Author14; Author83,Africa,77,347,Private,Pharmacology,Success,270
97,Study on Pharmacology (2010),2023,Author30; Author74,Asia,65,285,Government,Pharmacology,Failure,220
98,Study on Public Health (2000),2019,Author4; Author90,Europe,18,429,Private,Cardiology,Neutral,411
99,Study on Oncology (2011),2016,Author41; Author93,North America,113,208,NGO,Oncology,Failure,95
100,Study on Neurology (2007),2013,Author40; Author81,North America,277,107,Government,Public Health,Success,170
101,Study on Oncology (2007),2003,Author43; Author82,Asia,450,278,NGO,Pharmacology,Failure,172
102,Study on Pharmacology (2002),2009,Author2; Author51,Asia,475,359,Government,Public Health,Failure,116
103,Study on Oncology (2023),2007,Author35; Author86,South America,268,264,Government,Cardiology,Neutral,4
104,Study on Public Health (2002),2009,Author27; Author51,Oceania,360,402,Government,Pharmacology,Neutral,42
105,Study on Pharmacology (2004),2003,Author2; Author84,Africa,224,292,NGO,Public Health,Success,68
106,Study on Cardiology (2021),2001,Author47; Author68,Africa,433,88,Private,Public Health,Failure,345
107,Study on Public Health (2017),2007,Author35; Author69,Africa,86,323,NGO,Neurology,Neutral,237
108,Study on Cardiology (2008),2013,Author2; Author83,Asia,320,154,Government,Oncology,Success,166
109,Study on Pharmacology (2019),2020,Author45; Author94,South America,59,175,NGO,Genetics,Success,116
110,Study on Public Health (2006),2019,Author28; Author62,Oceania,100,219,NGO,Public Health,Success,119
111,Study on Pharmacology (2023),2014,Author7; Author57,Europe,253,338,NGO,Genetics,Neutral,85
112,Study on Genetics (2006),2002,Author34; Author60,Asia,471,174,Government,Cardiology,Neutral,297
113,Study on Genetics (2009),2003,Author16; Author63,South America,324,66,NGO,Cardiology,Neutral,258
114,Study on Public Health (2021),2015,Author40; Author84,Asia,317,59,NGO,Neurology,Success,258
115,Study on Genetics (2011),2019,Author17; Author73,Europe,29,277,Private,Public Health,Neutral,248
116,Study on Public Health (2016),2017,Author18; Author76,Europe,459,347,Private,Pharmacology,Neutral,112
117,Study on Public Health (2003),2000,Author6; Author74,South America,411,44,NGO,Cardiology,Neutral,367
118,Study on Cardiology (2007),2020,Author26; Author80,North America,282,32,NGO,Pharmacology,Neutral,250
119,Study on Oncology (2010),2016,Author37; Author66,Europe,267,437,Government,Cardiology,Failure,170
120,Study on Oncology (2018),2018,Author45; Author65,Europe,395,490,Government,Pharmacology,Failure,95
121,Study on Pharmacology (2007),2007,Author20; Author94,Oceania,70,76,Private,Oncology,Success,6
122,Study on Pharmacology (2007),2022,Author6; Author92,Europe,57,101,Private,Public Health,Success,44
123,Study on Oncology (2002),2004,Author42; Author99,Europe,256,457,Government,Oncology,Neutral,201
124,Study on Genetics (2020),2009,Author3; Author56,Oceania,347,26,Private,Oncology,Success,321
125,Study on Oncology (2007),2013,Author26; Author75,North America,76,113,Government,Public Health,Failure,37
126,Study on Oncology (2001),2000,Author25; Author86,Africa,471,64,Government,Genetics,Failure,407
127,Study on Neurology (2002),2019,Author31; Author54,Africa,318,258,NGO,Pharmacology,Neutral,60
128,Study on Pharmacology (2007),2011,Author41; Author51,Europe,286,108,NGO,Oncology,Neutral,178
129,Study on Neurology (2021),2007,Author45; Author61,North America,433,60,Private,Public Health,Failure,373
130,Study on Public Health (2006),2018,Author6; Author82,Asia,10,26,NGO,Pharmacology,Neutral,16
131,Study on Pharmacology (2004),2013,Author28; Author92,Oceania,469,302,NGO,Public Health,Neutral,167
132,Study on Genetics (2018),2005,Author22; Author87,Oceania,490,338,Government,Public Health,Success,152
133,Study on Pharmacology (2015),2021,Author7; Author84,North America,406,438,Private,Genetics,Failure,32
134,Study on Cardiology (2015),2021,Author3; Author65,South America,357,208,NGO,Oncology,Success,149
135,Study on Public Health (2006),2002,Author14; Author95,Oceania,342,346,Private,Public Health,Success,4
136,Study on Oncology (2003),2016,Author37; Author81,Asia,230,260,Government,Public Health,Success,30
137,Study on Genetics (2013),2011,Author18; Author53,Africa,277,279,NGO,Cardiology,Success,2
138,Study on Neurology (2013),2002,Author5; Author94,Africa,225,329,Government,Oncology,Success,104
139,Study on Public Health (2014),2016,Author18; Author85,North America,199,369,NGO,Pharmacology,Failure,170
140,Study on Genetics (2001),2017,Author37; Author93,Africa,457,312,Private,Oncology,Failure,145
141,Study on Genetics (2020),2016,Author3; Author62,North America,32,141,Government,Genetics,Failure,109
142,Study on Genetics (2003),2016,Author21; Author52,Oceania,367,35,Government,Genetics,Failure,332
143,Study on Oncology (2012),2017,Author14; Author88,North America,281,197,Private,Public Health,Neutral,84
144,Study on Genetics (2010),2000,Author10; Author99,Oceania,229,123,Government,Cardiology,Success,106
145,Study on Oncology (2007),2012,Author46; Author76,North America,127,320,Private,Cardiology,Failure,193
146,Study on Cardiology (2006),2015,Author5; Author70,North America,490,377,Government,Neurology,Neutral,113
147,Study on Pharmacology (2014),2001,Author11; Author87,Oceania,420,46,Government,Neurology,Failure,374
148,Study on Cardiology (2013),2020,Author16; Author87,North America,256,16,Government,Cardiology,Neutral,240
149,Study on Cardiology (2008),2012,Author25; Author94,South America,414,486,Private,Genetics,Success,72
150,Study on Public Health (2007),2011,Author35; Author72,South America,403,481,NGO,Oncology,Failure,78
151,Study on Oncology (2014),2008,Author25; Author99,South America,205,116,Government,Oncology,Neutral,89
152,Study on Pharmacology (2003),2023,Author48; Author59,North America,189,345,Private,Public Health,Failure,156
153,Study on Oncology (2020),2000,Author45; Author97,Africa,311,261,Private,Genetics,Failure,50
154,Study on Pharmacology (2000),2011,Author6; Author83,Asia,421,485,Government,Neurology,Neutral,64
155,Study on Oncology (2007),2002,Author48; Author73,South America,389,465,Private,Cardiology,Success,76
156,Study on Cardiology (2013),2011,Author4; Author57,Oceania,474,436,Private,Genetics,Failure,38
157,Study on Public Health (2015),2007,Author28; Author65,Europe,399,50,Private,Public Health,Success,349
158,Study on Cardiology (2012),2023,Author5; Author72,Europe,438,249,Government,Pharmacology,Failure,189
159,Study on Oncology (2005),2021,Author39; Author100,Oceania,366,420,NGO,Genetics,Failure,54
160,Study on Public Health (2000),2020,Author40; Author89,Oceania,304,337,Private,Pharmacology,Neutral,33
161,Study on Public Health (2008),2003,Author26; Author100,Oceania,60,41,Government,Oncology,Failure,19
162,Study on Public Health (2009),2018,Author21; Author52,North America,227,194,NGO,Public Health,Failure,33
163,Study on Public Health (2022),2023,Author41; Author68,Asia,78,295,Private,Public Health,Success,217
164,Study on Genetics (2017),2010,Author29; Author82,South America,140,390,Private,Cardiology,Neutral,250
165,Study on Genetics (2022),2004,Author15; Author73,Oceania,254,490,Government,Genetics,Neutral,236
166,Study on Public Health (2004),2001,Author36; Author75,North America,402,465,Government,Public Health,Success,63
167,Study on Cardiology (2009),2011,Author28; Author62,Oceania,129,222,NGO,Cardiology,Neutral,93
168,Study on Cardiology (2001),2017,Author44; Author88,Africa,475,430,NGO,Neurology,Neutral,45
169,Study on Pharmacology (2023),2010,Author43; Author75,Asia,449,198,Government,Genetics,Success,251
170,Study on Pharmacology (2001),2020,Author6; Author100,Africa,52,416,Government,Public Health,Neutral,364
171,Study on Genetics (2010),2005,Author40; Author69,Africa,155,372,Private,Genetics,Neutral,217
172,Study on Oncology (2001),2021,Author16; Author96,Oceania,316,39,Private,Genetics,Success,277
173,Study on Pharmacology (2015),2014,Author5; Author56,Europe,458,431,NGO,Oncology,Failure,27
174,Study on Pharmacology (2016),2022,Author18; Author60,South America,288,325,NGO,Genetics,Neutral,37
175,Study on Cardiology (2001),2015,Author25; Author96,North America,219,146,Private,Oncology,Failure,73
176,Study on Pharmacology (2002),2020,Author41; Author60,Africa,141,280,Private,Public Health,Failure,139
177,Study on Cardiology (2002),2005,Author48; Author75,Oceania,106,30,NGO,Genetics,Neutral,76
178,Study on Pharmacology (2002),2004,Author21; Author74,Africa,12,385,Private,Neurology,Neutral,373
179,Study on Genetics (2007),2002,Author7; Author56,North America,373,46,Government,Pharmacology,Failure,327
180,Study on Public Health (2003),2022,Author1; Author70,Asia,390,437,Government,Oncology,Neutral,47
181,Study on Pharmacology (2007),2014,Author29; Author74,North America,414,165,NGO,Neurology,Success,249
182,Study on Pharmacology (2019),2001,Author49; Author68,North America,13,49,NGO,Public Health,Neutral,36
183,Study on Oncology (2019),2009,Author7; Author59,South America,305,493,Private,Neurology,Success,188
184,Study on Oncology (2013),2006,Author6; Author62,Europe,277,120,Private,Genetics,Failure,157
185,Study on Genetics (2018),2001,Author28; Author79,Africa,70,275,Government,Pharmacology,Failure,205
186,Study on Pharmacology (2016),2006,Author36; Author86,Europe,276,59,Private,Pharmacology,Success,217
187,Study on Neurology (2008),2001,Author33; Author77,Asia,13,61,NGO,Pharmacology,Failure,48
188,Study on Cardiology (2021),2010,Author7; Author52,Africa,202,381,NGO,Cardiology,Failure,179
189,Study on Genetics (2010),2009,Author6; Author73,Europe,345,128,Private,Genetics,Failure,217
190,Study on Cardiology (2008),2016,Author36; Author56,Asia,115,282,Government,Oncology,Success,167
191,Study on Public Health (2004),2012,Author39; Author89,Oceania,362,207,Government,Pharmacology,Success,155
192,Study on Genetics (2020),2017,Author21; Author75,South America,421,107,Private,Neurology,Failure,314
193,Study on Neurology (2014),2015,Author1; Author69,Asia,171,108,Private,Genetics,Success,63
194,Study on Neurology (2002),2008,Author27; Author75,Europe,219,279,NGO,Oncology,Success,60
195,Study on Oncology (2014),2001,Author50; Author56,North America,195,346,NGO,Pharmacology,Failure,151
196,Study on Pharmacology (2018),2020,Author47; Author86,Africa,64,137,NGO,Genetics,Neutral,73
197,Study on Oncology (2002),2006,Author16; Author87,South America,89,301,Government,Neurology,Failure,212
198,Study on Pharmacology (2006),2009,Author34; Author61,Europe,228,330,Private,Oncology,Neutral,102
199,Study on Pharmacology (2008),2011,Author44; Author75,Oceania,343,495,NGO,Oncology,Failure,152
200,Study on Cardiology (2011),2001,Author11; Author59,South America,309,101,Government,Public Health,Success,208
201,Study on Oncology (2007),2020,Author18; Author70,Asia,139,295,NGO,Neurology,Failure,156
202,Study on Neurology (2009),2010,Author18; Author82,Europe,143,393,Private,Public Health,Success,250
203,Study on Cardiology (2014),2008,Author10; Author55,North America,447,295,Government,Pharmacology,Failure,152
204,Study on Pharmacology (2022),2003,Author11; Author78,North America,284,222,Private,Oncology,Failure,62
205,Study on Neurology (2019),2011,Author18; Author77,Oceania,226,392,Private,Neurology,Neutral,166
206,Study on Genetics (2016),2013,Author20; Author81,North America,299,64,Government,Neurology,Failure,235
207,Study on Oncology (2021),2012,Author5; Author74,North America,197,402,Government,Cardiology,Failure,205
208,Study on Pharmacology (2009),2023,Author17; Author66,Africa,323,336,NGO,Genetics,Neutral,13
209,Study on Genetics (2003),2014,Author47; Author91,Oceania,151,305,Government,Pharmacology,Failure,154
210,Study on Cardiology (2008),2012,Author32; Author89,South America,358,193,Government,Genetics,Success,165
211,Study on Oncology (2003),2010,Author40; Author63,Europe,213,355,NGO,Oncology,Success,142
212,Study on Genetics (2017),2005,Author30; Author57,North America,396,244,Private,Pharmacology,Neutral,152
213,Study on Cardiology (2008),2015,Author9; Author70,Africa,114,369,Government,Genetics,Failure,255
214,Study on Neurology (2019),2022,Author1; Author76,North America,221,350,Private,Cardiology,Neutral,129
215,Study on Cardiology (2022),2015,Author22; Author90,Oceania,292,228,Private,Cardiology,Success,64
216,Study on Neurology (2006),2011,Author25; Author72,Oceania,411,462,Government,Neurology,Failure,51
217,Study on Genetics (2020),2016,Author29; Author72,North America,295,63,Private,Cardiology,Failure,232
218,Study on Neurology (2016),2008,Author28; Author92,Asia,257,95,Private,Pharmacology,Neutral,162
219,Study on Public Health (2008),2002,Author39; Author59,Oceania,101,415,NGO,Oncology,Neutral,314
220,Study on Oncology (2002),2023,Author20; Author71,Europe,199,102,NGO,Genetics,Neutral,97
221,Study on Genetics (2013),2013,Author39; Author95,South America,296,291,NGO,Public Health,Neutral,5
222,Study on Neurology (2001),2002,Author13; Author81,Asia,294,215,Private,Genetics,Failure,79
223,Study on Oncology (2010),2013,Author21; Author62,Asia,257,268,Private,Pharmacology,Failure,11
224,Study on Cardiology (2020),2019,Author26; Author71,South America,139,182,NGO,Genetics,Neutral,43
225,Study on Neurology (2005),2005,Author19; Author98,North America,167,346,Government,Cardiology,Success,179
226,Study on Genetics (2014),2017,Author45; Author91,North America,305,90,NGO,Genetics,Success,215
227,Study on Pharmacology (2022),2009,Author32; Author87,Europe,186,283,Government,Cardiology,Neutral,97
228,Study on Public Health (2017),2010,Author16; Author71,North America,406,317,Government,Neurology,Neutral,89
229,Study on Oncology (2003),2003,Author25; Author68,Asia,371,236,Private,Neurology,Success,135
230,Study on Oncology (2022),2002,Author26; Author74,Asia,213,487,NGO,Neurology,Neutral,274
231,Study on Cardiology (2017),2010,Author8; Author87,Oceania,386,190,Government,Pharmacology,Failure,196
232,Study on Oncology (2011),2021,Author13; Author88,Asia,80,472,NGO,Genetics,Neutral,392
233,Study on Pharmacology (2017),2009,Author35; Author62,South America,447,171,Private,Public Health,Success,276
234,Study on Cardiology (2013),2009,Author44; Author100,Oceania,452,291,Private,Neurology,Success,161
235,Study on Cardiology (2001),2014,Author36; Author52,North America,347,176,Private,Oncology,Failure,171
236,Study on Neurology (2011),2019,Author47; Author80,North America,70,442,Government,Oncology,Success,372
237,Study on Oncology (2011),2022,Author46; Author64,North America,392,200,NGO,Neurology,Neutral,192
238,Study on Cardiology (2021),2013,Author29; Author69,North America,127,221,Government,Neurology,Failure,94
239,Study on Cardiology (2021),2005,Author45; Author55,Europe,238,401,NGO,Public Health,Failure,163
240,Study on Oncology (2011),2022,Author27; Author94,Oceania,410,334,Government,Public Health,Neutral,76
241,Study on Pharmacology (2013),2014,Author32; Author59,Oceania,368,230,Private,Pharmacology,Success,138
242,Study on Pharmacology (2023),2011,Author41; Author70,Europe,496,432,Private,Pharmacology,Success,64
243,Study on Cardiology (2007),2014,Author16; Author67,Asia,92,381,Private,Oncology,Success,289
244,Study on Cardiology (2005),2001,Author43; Author60,Asia,61,175,Government,Public Health,Success,114
245,Study on Public Health (2000),2023,Author46; Author78,South America,119,321,NGO,Genetics,Neutral,202
246,Study on Cardiology (2023),2011,Author25; Author55,Africa,270,133,Private,Pharmacology,Neutral,137
247,Study on Neurology (2013),2019,Author29; Author89,Asia,215,298,Private,Genetics,Neutral,83
248,Study on Genetics (2023),2013,Author31; Author88,Oceania,412,289,Government,Pharmacology,Success,123
249,Study on Cardiology (2008),2008,Author26; Author85,North America,183,119,Private,Neurology,Neutral,64
250,Study on Cardiology (2022),2020,Author33; Author95,Asia,420,202,Private,Public Health,Neutral,218
251,Study on Oncology (2012),2001,Author27; Author85,Asia,291,402,Government,Pharmacology,Failure,111
252,Study on Oncology (2015),2002,Author3; Author74,Europe,324,291,Government,Neurology,Failure,33
253,Study on Cardiology (2006),2021,Author45; Author85,North America,366,484,Private,Genetics,Failure,118
254,Study on Public Health (2011),2020,Author39; Author91,South America,360,391,NGO,Genetics,Failure,31
255,Study on Neurology (2007),2012,Author6; Author57,South America,371,140,NGO,Oncology,Neutral,231
256,Study on Cardiology (2000),2011,Author50; Author66,South America,36,194,NGO,Cardiology,Success,158
257,Study on Genetics (2006),2016,Author43; Author93,Asia,92,241,NGO,Public Health,Failure,149
258,Study on Public Health (2010),2023,Author23; Author61,South America,209,239,NGO,Oncology,Success,30
259,Study on Neurology (2002),2021,Author42; Author90,Oceania,335,213,NGO,Oncology,Neutral,122
260,Study on Neurology (2011),2005,Author3; Author87,South America,12,10,Government,Public Health,Neutral,2
261,Study on Genetics (2016),2000,Author42; Author94,South America,421,381,NGO,Cardiology,Failure,40
262,Study on Public Health (2021),2004,Author42; Author76,Oceania,56,27,Government,Neurology,Failure,29
263,Study on Pharmacology (2010),2019,Author49; Author72,Europe,431,155,Government,Oncology,Success,276
264,Study on Oncology (2003),2021,Author28; Author57,North America,84,315,Government,Oncology,Success,231
265,Study on Neurology (2005),2014,Author1; Author57,Europe,251,18,Private,Cardiology,Failure,233
266,Study on Pharmacology (2008),2001,Author17; Author65,Oceania,484,275,NGO,Neurology,Failure,209
267,Study on Oncology (2003),2004,Author33; Author98,Oceania,317,79,NGO,Oncology,Success,238
268,Study on Pharmacology (2013),2002,Author34; Author86,North America,232,465,NGO,Genetics,Failure,233
269,Study on Neurology (2023),2007,Author38; Author95,Europe,55,164,Private,Cardiology,Failure,109
270,Study on Neurology (2013),2020,Author37; Author65,North America,42,13,Government,Public Health,Neutral,29
271,Study on Pharmacology (2016),2011,Author29; Author74,South America,144,163,NGO,Cardiology,Success,19
272,Study on Oncology (2012),2011,Author26; Author80,Africa,123,123,Private,Cardiology,Success,0
273,Study on Pharmacology (2006),2012,Author50; Author94,South America,199,119,Private,Pharmacology,Success,80
274,Study on Neurology (2001),2018,Author38; Author95,Africa,50,448,NGO,Genetics,Neutral,398
275,Study on Genetics (2013),2001,Author33; Author60,Oceania,321,171,Government,Oncology,Neutral,150
276,Study on Oncology (2016),2019,Author23; Author52,South America,29,21,Private,Neurology,Neutral,8
277,Study on Pharmacology (2021),2004,Author31; Author57,Europe,380,405,Government,Public Health,Neutral,25
278,Study on Genetics (2023),2021,Author19; Author77,Africa,206,430,Government,Genetics,Success,224
279,Study on Genetics (2021),2014,Author6; Author58,South America,486,492,NGO,Pharmacology,Success,6
280,Study on Cardiology (2011),2011,Author47; Author60,Asia,215,363,NGO,Cardiology,Failure,148
281,Study on Public Health (2002),2011,Author23; Author70,Africa,324,431,NGO,Public Health,Success,107
282,Study on Genetics (2010),2014,Author22; Author80,North America,345,151,Government,Neurology,Failure,194
283,Study on Pharmacology (2010),2002,Author14; Author84,Oceania,276,480,Government,Public Health,Neutral,204
284,Study on Genetics (2003),2018,Author31; Author73,Oceania,156,293,Private,Public Health,Success,137
285,Study on Genetics (2009),2004,Author31; Author57,Europe,374,271,Private,Genetics,Success,103
286,Study on Pharmacology (2009),2016,Author29; Author97,South America,315,294,Private,Genetics,Failure,21
287,Study on Genetics (2013),2011,Author45; Author79,South America,39,302,NGO,Oncology,Neutral,263
288,Study on Neurology (2012),2012,Author21; Author55,North America,494,484,Government,Neurology,Failure,10
289,Study on Genetics (2009),2010,Author20; Author53,South America,406,302,Government,Cardiology,Neutral,104
290,Study on Pharmacology (2004),2020,Author46; Author58,South America,429,89,Government,Oncology,Failure,340
291,Study on Cardiology (2013),2008,Author2; Author72,North America,99,58,Private,Oncology,Success,41
292,Study on Genetics (2012),2007,Author42; Author57,North America,337,29,NGO,Cardiology,Success,308
293,Study on Genetics (2023),2003,Author44; Author61,Asia,263,245,NGO,Pharmacology,Failure,18
