Country,Year,Anxiety Prevalence (%),Depression Prevalence (%),Stress Prevalence (%),Sample Size,Survey Method
India,2021,39.8,23.3,27.8,2145,Online
Australia,2020,16.0,26.0,38.1,4866,In-Person
UK,2020,46.5,18.5,57.0,2655,Online
UK,2022,49.3,15.1,18.6,3371,Online
UK,2022,40.5,19.1,47.7,2456,Telephone
USA,2021,11.1,18.8,50.1,4683,Online
USA,2020,46.0,10.6,23.2,2537,Telephone
India,2021,32.5,13.3,50.4,2506,In-Person
UK,2022,17.9,28.2,58.1,1962,In-Person
Canada,2020,14.5,24.2,48.1,1813,In-Person
USA,2022,26.4,20.1,27.0,4181,Online
India,2023,46.1,8.0,50.2,4639,Online
India,2023,30.7,24.1,39.1,3121,Online
Australia,2021,43.3,26.6,35.9,3660,Online
Australia,2020,41.8,22.5,37.7,3869,In-Person
Australia,2021,50.0,21.8,29.7,2606,In-Person
UK,2020,44.6,6.4,39.2,2211,In-Person
Australia,2021,19.5,32.1,26.7,1797,Online
Canada,2020,27.3,12.9,55.4,3887,Telephone
USA,2022,14.8,30.1,34.6,1619,In-Person
Australia,2022,49.9,35.7,18.9,4546,Online
India,2021,43.2,28.8,36.7,4316,In-Person
UK,2022,28.6,27.1,19.3,2166,In-Person
Australia,2020,42.0,39.4,24.7,1380,In-Person
Australia,2023,45.1,18.2,39.4,609,In-Person
India,2023,46.8,16.5,43.6,3152,Online
Canada,2023,10.7,20.5,39.5,4952,In-Person
Australia,2020,46.4,26.1,31.7,4774,In-Person
India,2022,29.7,34.5,28.1,2412,Telephone
Canada,2020,30.4,14.9,33.9,1711,Online
USA,2021,27.9,17.8,13.4,2460,Telephone
India,2021,30.3,21.6,56.2,1329,Online
UK,2022,19.0,39.8,27.3,4343,In-Person
India,2023,16.0,29.3,55.1,958,Telephone
Canada,2022,26.4,25.9,44.0,3102,In-Person
USA,2023,35.2,6.7,14.6,1616,Online
Australia,2021,12.6,10.9,35.7,3402,Online
Australia,2021,22.2,19.5,28.6,1390,Online
UK,2023,35.8,24.4,26.9,4418,In-Person
India,2020,14.3,27.0,42.1,2333,In-Person
UK,2023,38.7,5.1,15.0,577,In-Person
Australia,2020,14.0,6.1,58.2,1472,In-Person
Canada,2021,28.9,23.0,15.9,4554,Online
India,2023,37.5,34.0,53.1,3631,Telephone
USA,2020,40.0,39.1,12.0,3869,Online
Canada,2020,38.2,37.3,19.7,1451,In-Person
India,2021,23.0,14.8,50.0,3668,Telephone
Australia,2021,30.7,25.7,45.0,1116,Online
USA,2021,49.3,25.2,35.1,1494,In-Person
USA,2020,41.4,31.0,29.6,4293,Online
Australia,2022,35.3,11.5,17.2,2679,In-Person
Canada,2021,31.1,31.0,30.6,1656,Online
UK,2022,27.6,18.2,22.7,4688,Telephone
Canada,2020,31.6,33.2,58.9,1705,Online
Canada,2022,30.3,35.3,26.9,2431,Online
India,2020,11.7,18.8,52.9,4728,Online
USA,2023,48.7,17.6,27.7,4022,Telephone
USA,2020,32.5,24.1,19.7,1590,Telephone
Canada,2023,19.9,35.2,54.1,3802,Telephone
India,2022,24.7,15.4,39.3,3165,In-Person
UK,2023,42.7,37.6,24.0,4038,Telephone
Canada,2023,18.3,37.1,43.4,4860,Telephone
UK,2020,42.0,32.4,23.9,2631,In-Person
India,2022,27.5,18.7,35.6,914,Online
UK,2022,23.0,26.7,29.8,3247,Online
Australia,2021,26.7,34.2,39.2,3136,Telephone
Australia,2023,28.2,38.8,12.3,583,Telephone
Canada,2022,33.2,38.0,19.1,2145,Online
Australia,2023,49.3,13.3,23.9,3891,In-Person
Canada,2021,35.1,16.4,31.8,1601,Online
Australia,2022,41.7,29.8,59.6,1192,In-Person
USA,2021,31.3,34.6,17.9,3133,Telephone
Australia,2023,48.9,6.9,38.8,4632,In-Person
Canada,2020,14.9,36.3,17.9,4107,Telephone
USA,2020,44.1,26.2,52.7,1013,Online
India,2022,43.1,8.4,28.2,4637,In-Person
Canada,2021,41.0,28.3,38.4,3003,Online
USA,2022,19.3,11.2,20.4,3263,Telephone
Canada,2023,45.7,37.5,52.9,3683,Telephone
Canada,2023,27.6,21.9,59.5,717,Online
UK,2021,12.4,24.4,56.7,929,Online
Canada,2021,39.8,26.0,49.9,645,In-Person
UK,2023,15.9,9.7,19.4,4227,In-Person
USA,2023,15.6,36.9,33.1,1746,In-Person
Canada,2022,28.6,18.8,31.7,2182,Online
Canada,2022,34.3,36.0,40.6,4068,Telephone
Australia,2023,34.5,11.8,34.2,4004,Telephone
Canada,2021,48.4,15.2,15.1,683,Online
India,2022,16.3,35.7,35.5,1036,Online
Canada,2022,20.6,32.0,47.5,3904,Telephone
India,2020,18.8,8.1,51.9,936,Online
UK,2020,25.1,9.9,12.4,2543,Online
India,2021,32.0,10.3,26.1,1455,Telephone
Australia,2022,22.8,30.7,12.1,1781,Online
India,2020,29.8,22.9,27.3,1259,In-Person
Canada,2022,44.2,38.6,54.1,2478,Telephone
USA,2021,48.0,30.7,57.9,2217,In-Person
Australia,2022,25.0,18.2,46.1,2229,Telephone
Australia,2022,37.9,25.6,15.2,2960,Online
Australia,2021,23.1,26.0,43.2,4565,Online
Canada,2022,24.5,35.4,33.9,2205,Telephone
UK,2020,39.7,38.7,33.7,3813,Telephone
Canada,2022,39.8,16.0,28.0,2418,In-Person
India,2022,16.9,23.3,57.7,1552,Online
Canada,2020,41.0,17.7,54.4,3682,In-Person
Australia,2021,27.4,10.7,22.6,4514,Telephone
USA,2021,29.6,34.7,28.4,4288,Telephone
India,2021,32.5,29.5,55.4,3526,In-Person
Canada,2020,10.3,14.5,53.1,4190,Online
Canada,2023,20.8,29.6,46.1,3135,Online
USA,2023,34.1,39.4,18.7,1088,Online
Canada,2023,35.3,10.7,51.0,2391,Online
Canada,2020,36.5,33.5,59.8,3496,Telephone
Canada,2022,31.6,24.9,22.1,4626,In-Person
USA,2020,21.7,14.0,47.0,3897,In-Person
Canada,2022,27.9,30.9,33.6,3763,In-Person
UK,2020,43.6,29.7,28.1,1279,In-Person
India,2020,12.6,16.5,20.8,1397,Online
UK,2021,50.0,7.4,53.1,1755,In-Person
UK,2023,13.1,37.7,31.8,3235,Online
Australia,2022,24.4,38.1,39.6,2423,Telephone
India,2022,41.2,27.8,27.0,1402,In-Person
USA,2021,33.8,25.9,13.0,1071,Online
Australia,2020,44.2,28.8,38.1,872,Telephone
India,2023,35.0,27.4,14.0,1277,In-Person
Australia,2022,39.8,15.1,40.3,1622,Telephone
Australia,2023,45.1,12.5,28.8,2411,Online
Australia,2022,43.7,27.0,41.5,4673,In-Person
UK,2022,33.1,35.4,49.3,4028,Online
India,2022,15.7,13.2,55.2,3612,Telephone
UK,2020,40.9,10.8,41.1,1134,Online
Canada,2020,21.3,35.3,25.6,3318,In-Person
Canada,2022,26.6,38.3,17.8,569,Telephone
USA,2022,32.4,8.8,30.1,4013,In-Person
Canada,2022,18.0,29.9,12.4,4966,Telephone
USA,2020,43.2,7.4,42.1,1853,In-Person
